SSN,Class,Major,Advisor
123-45-6789,Freshman,Computer Science,Dr. Smith
123-12-1234,Sophomore,Mathematics,Dr. Greene
567-89-0123,Junior,History,Dr. Nelson
087-65-4321,Freshman,Mechanical Engineering,Dr. Maynard
456-78-9012,Senior,Physics,Dr. Ortega
234-56-7890,Senior,Chemistry,Dr. Ortega
345-67-8901,Junior,Biology,Dr. Patel
632-79-9939,Freshman,Business,Dr. Singh
223-45-6789,Sophomore,Computer Science,Dr. Smith
143-12-1234,Junior,Mathematics,Dr. Greene
565-89-0123,Sophomore,History,Dr. Nelson
087-75-4321,Senior,Mechanical Engineering,Dr. Maynard
456-71-9012,Junior,Physics,Dr. Ortega
234-56-2890,Freshman,Chemistry,Dr. Ortega
345-67-3901,Senior,Biology,Dr. Patel
632-79-9439,Junior,Business,Dr. Singh
